SaleID,OrderID,OrderDate,CustomerName,CustomerEmail,ProductID,ProductName,ProductCategory,UnitsSold,UnitPrice,TotalPrice,Revenue,Region,Discount,CustomerID,PaymentMethod,PaymentStatus,OrderStatus,ShippingCost,Carrier,TrackingNumber,CouponCode,CouponDiscount,City,Country,Latitude,Longitude,ShippingAddress,BillingAddress
d0c2100e-e2ca-4112-b420-2718c9f6d0d5,95981d9b-6f75-4647-8d80-67affb9c3add,2024-05-01 13:55:56,Jeffrey Perry,frederickjulia@example.com,72,support,tree,9,98.83,884.59,884.59,East,4.88,340,Credit Card,Unpaid,Shipped,10.8,UPS,bd88d10e-8917-4702-b430-f4323928fd99,indeed,4.88,Bridgeport,US,41.16704,-73.20483,"575 Spencer Field Suite 332, Heatherton, AS 30371","942 Paul Roads Suite 350, North Beckyshire, CT 95562"
097ea928-a12a-434c-a380-cbd47cfffad2,c3b8549f-ba1b-4da8-85dd-15e3145f5d00,2024-03-12 12:33:38,Anthony Haas,jenniferking@example.com,85,main,which,9,25.17,222.07,222.07,North,4.46,268,Debit Card,Unpaid,Shipped,19.1,UPS,280fc228-90f6-479a-b5b5-c08a8008631e,between,4.46,Waverly,US,42.7392,-84.62081,"528 James Wall, West James, KS 30202","1899 Edward Ford Suite 267, Sarahborough, WV 80254"
8c6e7674-2994-4d70-8ce6-8cba9484fa10,1da91f35-23dc-4bff-97ba-61eb6a08e954,2024-07-11 00:34:08,Bryan Mcconnell,lcrawford@example.net,28,manage,mention,4,33.37,124.68,124.68,East,8.8,359,Credit Card,Paid,Pending,5.45,USPS,be35f819-f1e9-4fe8-85d4-f45d8142acb9,realize,8.8,Middle River,US,39.33427,-76.43941,"8626 Suzanne Lake, Michelleside, WA 75401","3173 Brooke Trail Apt. 228, Port Krystal, VT 05722"
3fc405ab-4a4f-42ba-acc5-77fdb88763f0,8ad27e6c-a89f-4d72-95a6-76a408661588,2024-01-08 21:57:03,Sarah Smith,darrenmartinez@example.net,3,hold,sell,3,90.98,266.33,266.33,East,6.61,481,PayPal,Unpaid,Shipped,8.56,USPS,495bce5c-1347-4154-83b2-ec605b169299,particularly,6.61,Camarillo,US,34.21639,-119.0376,"407 Fritz Pass Suite 542, Jimenezfurt, PA 14615","81859 Crystal Tunnel, North Lynn, MH 93300"
70b9b694-8752-4936-927b-d78e6c10097f,fb844fb0-219a-4556-827e-e1f89f053f68,2024-04-01 22:55:42,Kimberly Dominguez,smithrachel@example.net,63,sit,store,9,36.03,323.77,323.77,East,0.5,289,PayPal,Unpaid,Pending,16.79,DHL,4eaf2122-ce8d-4e42-8daa-0d66396c27fb,spring,0.5,Jersey City,US,40.72816,-74.07764,"624 Conner Ways Suite 024, Jasonland, MP 71360","05102 Thomas Junction, Port Rachel, OH 29917"
dca4216f-b3ff-442b-bcee-b6bc5c6cce00,7ca5d38d-5877-49ca-8902-7d93abd121f5,2024-05-16 14:21:21,Joshua Smith,luisdavis@example.org,55,young,against,3,84.26,248.15,248.15,East,4.63,295,Credit Card,Paid,Shipped,18.86,UPS,95ea4589-02e0-4b80-8072-4001b160f1a7,could,4.63,Dumont,US,40.94065,-73.99681,"8297 Juarez Wall Apt. 140, Jefferyberg, NH 98410","50891 Stacy Road, Danielleberg, OH 33182"
73038859-edc7-4aba-a05d-71df0e0125b2,d050d7b3-21a6-4581-9fef-2057015aaf80,2024-04-28 19:58:34,Michelle Hill,hannah67@example.org,70,again,thought,9,68.7,610.2,610.2,East,8.1,199,Cash,Unpaid,Shipped,9.81,UPS,2543f0af-5403-4849-b37b-cb72d1d78767,soldier,8.1,Port Richmond,US,40.63316,-74.13653,"600 Alice Rapid Apt. 383, Port Andrewville, AL 21806","51933 Gallegos Point Apt. 257, Virginiafurt, AS 55371"
27be6b30-8b6e-460f-9bc5-88fef374b053,df31d112-4ff2-46d9-970b-a8866cf439ac,2024-07-12 13:47:04,Savannah Rose,kmaynard@example.com,39,ago,great,5,43.53,213.58,213.58,East,4.07,493,PayPal,Refunded,Delivered,12.58,FedEx,75bcca59-8075-4d04-b4e0-0087683036a1,game,4.07,San Gabriel,US,34.09611,-118.10583,"690 Strickland Spurs, New Jamesfurt, UT 74985","PSC 0543, Box 4443, APO AE 75110"
5384b5b4-63c4-47f5-83df-4f7c6a949b25,771aa008-d12a-493d-8350-107ccbbbd26e,2024-01-11 14:19:14,Julie Wise,qwolf@example.com,93,discuss,soon,6,40.98,242.85,242.85,North,3.03,5,Credit Card,Paid,Delivered,7.9,USPS,07be5a84-47c0-454c-96dd-3441f4ee2069,several,3.03,Lompoc,US,34.63915,-120.45794,"7801 Joshua Well, Jacobmouth, NE 20799","22431 Summer Common, East Cassandra, NY 19349"
43dbf747-f48f-40fb-85da-2fb7ba0edb70,d0b85598-9605-42dc-904d-555251b138e3,2024-08-04 08:38:58,James Moore,rebeccabryant@example.com,62,receive,movie,3,88.91,259.51,259.51,East,7.22,472,Debit Card,Unpaid,Shipped,8.09,UPS,3fc27318-99f3-476a-906c-0a2bc9ebe709,north,7.22,Ada,US,34.77453,-96.67834,"1003 Deleon Underpass, East Amberville, AS 95752","041 Jones Turnpike Apt. 982, North Jasmine, DC 51075"
